study_hours,attendance_percentage,assignment_score,previous_sem_marks,sleep_hours,department,final_exam_score
,74.67,58.12,59.31,6.18,ECE,46.53
3.0,75.41,58.47,81.11,6.76,,58.36
5.78,78.41,68.26,50.1,7.83,CSE,57.7
4.91,,52.16,,4.71,ECE,37.58
4.39,75.26,77.09,68.79,7.78,ECE,80.58
3.6,89.71,62.22,54.44,6.14,ECE,65.38
,79.62,60.96,,8.44,CE,75.52
5.84,87.91,66.9,89.65,6.58,CSE,116.67
5.4,68.33,66.89,60.89,7.26,,61.21
5.57,84.53,73.5,60.81,7.35,CE,95.82
6.0,77.3,61.15,79.99,9.69,ME,108.11
8.85,,,58.38,7.83,ME,45.52
3.35,66.22,63.8,66.6,6.69,ECE,33.67
6.37,75.38,75.65,66.86,5.86,CSE,65.09
3.9,79.71,58.15,79.49,5.75,ECE,76.26
4.86,79.59,77.97,45.09,8.25,ME,76.1
6.13,73.85,39.81,60.14,8.02,,57.2
7.16,65.36,48.71,84.14,5.65,,66.73
7.28,79.98,51.66,93.71,7.37,,105.11
6.14,68.37,44.97,58.55,7.82,CE,48.2
6.57,74.94,67.51,67.18,5.52,CE,76.76
5.45,80.52,70.29,90.46,6.97,ECE,111.29
7.11,65.24,53.92,55.76,4.97,CSE,21.09
7.4,65.28,67.22,60.15,4.98,ECE,54.62
7.33,83.43,79.26,61.3,9.77,CSE,120.56
4.72,80.9,49.91,75.08,8.1,ME,79.62
5.62,73.77,61.18,60.16,5.46,CSE,36.7
4.1,46.68,77.46,78.28,4.72,,6.71
,81.69,87.18,89.44,6.74,ME,110.09
7.06,80.11,54.11,60.13,9.28,CE,100.03
1.34,95.68,50.91,54.23,6.7,ME,68.66
6.25,75.46,62.02,80.55,7.94,CSE,90.35
4.14,74.63,49.16,59.61,6.08,ME,37.83
0.84,92.55,72.27,95.45,5.08,CSE,89.88
5.01,75.5,71.9,,7.75,CE,56.69
2.19,74.51,61.65,69.21,8.27,CE,68.61
7.7,71.24,67.54,89.39,8.59,CSE,113.35
4.47,89.54,74.93,110.8,7.02,CE,128.33
7.19,67.67,80.14,76.38,6.0,ME,91.78
7.06,96.22,49.87,47.21,8.38,CE,111.31
4.72,87.04,61.21,63.25,7.92,,85.51
1.34,,32.56,77.67,8.02,CE,16.14
3.45,,60.34,76.11,8.69,ECE,94.68
7.56,79.24,,36.75,5.81,ME,65.12
7.32,75.7,63.75,56.09,6.75,CE,68.07
3.35,79.45,69.9,72.24,7.83,CE,76.1
5.49,76.73,,,7.08,,79.73
6.51,59.64,68.79,79.19,7.7,ME,42.8
5.27,64.08,44.09,84.92,6.18,ME,28.81
,78.11,62.01,86.79,7.86,ECE,132.25
2.81,87.02,74.39,22.35,6.96,CSE,55.03
0.83,64.92,83.34,47.92,6.88,ME,19.03
6.31,55.31,71.16,82.16,7.05,CE,69.96
3.88,77.27,43.63,61.7,3.65,ECE,9.25
6.23,64.19,60.67,78.9,8.74,CE,65.89
3.31,,73.57,47.28,7.71,CE,63.39
4.97,66.54,63.1,69.06,6.72,ME,48.66
,68.83,70.06,53.5,8.26,CSE,43.49
4.26,73.41,63.54,49.78,6.31,CE,37.4
4.81,76.58,43.98,63.76,6.42,ME,45.69
5.3,69.76,56.66,57.66,6.39,ECE,30.2
6.79,67.82,50.07,65.58,5.96,CE,41.47
4.15,73.42,44.69,54.82,9.29,ECE,47.64
,66.04,52.16,81.88,9.58,ME,71.52
5.02,86.63,82.3,55.28,4.85,ME,84.26
7.91,71.53,,,9.15,ME,92.75
5.46,67.67,74.26,42.13,7.66,ME,43.99
5.58,82.32,68.17,45.18,8.91,ME,86.21
3.37,68.62,68.44,54.01,5.75,CSE,29.76
0.22,69.03,69.55,63.82,8.85,ECE,22.38
4.3,55.5,,36.72,7.39,CSE,2.58
8.06,77.69,76.13,77.62,7.09,ECE,99.76
6.64,63.57,77.35,69.03,8.31,CE,81.25
2.76,55.04,70.92,,7.44,CE,19.44
3.54,75.83,72.05,96.22,6.69,ECE,81.12
5.96,76.0,55.86,92.45,5.68,CE,74.72
6.09,76.22,66.5,70.73,6.36,CE,75.17
7.46,76.79,51.57,79.05,6.41,CE,76.68
4.2,73.76,43.48,52.24,6.43,CSE,29.46
7.9,62.71,58.15,70.21,8.28,CSE,59.21
,66.18,77.84,58.83,6.96,ME,35.08
2.82,69.11,,82.52,7.0,ECE,28.55
9.28,74.76,,95.91,6.14,CE,114.62
2.2,80.0,55.18,75.51,9.3,ECE,84.59
3.16,63.77,74.83,85.26,9.31,ME,74.15
3.89,64.65,55.49,52.03,6.84,ME,6.65
6.97,87.3,71.52,49.0,7.0,CE,108.25
2.77,57.93,83.4,,6.2,ME,36.92
5.39,81.56,72.12,69.72,2.59,CE,60.02
5.2,69.34,,62.45,5.51,ME,51.71
5.52,59.51,67.35,86.56,5.64,ME,54.36
3.33,77.79,,102.18,5.99,CE,90.05
3.18,78.14,58.25,48.82,5.48,ME,41.63
9.05,76.85,90.07,70.1,4.59,ME,97.17
6.79,83.94,80.97,97.44,5.2,ME,116.67
6.94,66.34,52.67,76.41,8.9,ECE,68.8
,95.88,76.98,86.62,2.66,CSE,105.2
5.74,72.97,55.44,60.94,7.87,ECE,54.25
1.17,77.42,59.44,44.13,6.3,ME,16.19
6.8,83.3,56.88,76.77,5.84,CSE,92.35
,79.8,72.83,82.34,4.55,ECE,73.42
6.95,69.99,55.97,77.73,4.8,ECE,62.76
5.65,71.9,65.25,68.05,8.02,ECE,74.24
3.78,71.95,49.26,67.2,5.4,CE,38.04
4.26,71.57,79.95,48.89,3.89,ME,30.47
,86.94,44.29,63.03,5.98,ME,59.68
3.92,78.48,62.79,58.33,7.03,CSE,68.27
7.1,81.35,69.72,61.97,8.34,ECE,105.3
6.91,70.16,63.46,69.42,9.11,ME,79.46
2.52,90.49,58.12,,7.15,ECE,71.88
5.39,78.21,61.43,50.95,8.97,ME,72.27
5.2,66.44,53.07,51.03,7.63,ECE,28.72
3.29,,63.11,70.53,6.04,ME,89.13
5.84,74.06,,57.04,8.14,CSE,57.7
3.57,74.33,54.01,80.23,5.75,ECE,53.26
,79.96,59.15,87.7,8.61,ME,135.63
4.93,76.09,69.34,66.88,5.28,CSE,72.44
3.48,67.18,77.02,43.43,6.25,,8.61
5.53,73.85,61.81,67.75,6.4,ME,63.27
7.55,77.65,54.79,67.72,10.73,ECE,112.84
6.77,88.51,47.0,69.06,5.83,CE,95.37
6.63,78.07,,79.44,8.35,CSE,95.93
6.52,80.41,50.96,61.35,4.3,CSE,67.6
1.71,61.1,35.01,85.34,10.44,ME,27.62
1.95,57.39,76.19,88.94,4.87,CE,15.0
5.76,63.77,64.41,72.5,8.01,CE,67.93
3.69,65.94,43.72,61.07,8.89,CE,37.67
1.5,92.12,79.65,76.52,5.68,ME,101.35
4.7,78.23,66.69,,4.35,ECE,46.57
5.38,,66.7,65.36,10.48,CSE,109.97
2.58,71.99,,75.83,6.58,ME,45.26
1.9,73.23,62.53,62.63,5.88,CE,44.0
7.82,75.84,73.45,76.15,8.18,CSE,106.28
5.47,67.3,50.31,46.66,7.05,CSE,13.44
3.34,71.33,73.32,71.29,7.26,CE,62.3
2.77,55.33,79.41,67.21,7.21,CE,28.99
2.61,63.73,70.37,72.14,4.64,CSE,10.94
4.38,67.08,56.9,41.6,6.78,CSE,19.15
5.04,95.57,52.88,59.08,7.93,ECE,104.7
,66.13,61.31,88.43,5.74,ECE,71.01
2.04,98.04,77.82,88.89,7.91,ME,120.02
8.05,81.48,70.96,66.49,6.79,CSE,116.77
4.63,74.52,88.22,,8.22,ECE,81.74
4.16,69.77,82.44,65.77,9.37,CSE,71.53
2.3,87.45,55.1,50.16,11.42,CE,89.07
1.26,64.92,60.1,,3.94,ECE,-9.64
6.09,66.54,66.27,73.0,8.9,CE,63.26
5.06,81.82,77.64,70.45,6.94,CE,89.9
7.56,71.82,57.6,78.37,6.44,CE,75.24
2.2,89.03,74.49,78.8,5.64,ME,87.63
7.71,83.7,74.08,76.2,5.62,CE,106.65
3.55,80.91,63.18,67.07,4.91,ME,58.36
7.98,72.87,83.37,72.23,8.83,CSE,128.57
3.24,80.63,79.77,99.81,9.53,CSE,127.1
9.38,76.83,55.79,57.88,8.31,ECE,98.04
5.83,81.34,50.75,67.22,7.46,ECE,69.73
5.55,79.2,71.24,70.13,9.8,ME,96.42
,73.5,65.87,68.74,7.11,CSE,98.49
4.85,74.26,46.08,99.59,5.8,ECE,69.15
5.03,60.94,55.58,83.53,6.44,ECE,32.0
7.89,62.48,62.11,,7.53,ECE,57.74
4.79,103.15,60.02,75.9,8.05,CSE,128.58
4.87,76.04,74.11,58.69,7.42,ECE,68.98
3.58,61.05,71.08,66.06,6.91,CSE,27.38
0.66,,85.13,52.09,5.79,CE,47.64
5.71,79.1,57.7,71.22,7.89,CE,91.33
,68.2,68.01,74.4,7.52,CE,68.43
9.44,91.26,61.4,,9.86,ME,146.79
9.15,71.78,60.82,75.73,6.48,CSE,94.12
2.71,81.39,78.27,94.5,8.78,ECE,125.73
6.32,66.83,67.56,84.06,7.0,,64.62
3.82,,76.58,69.6,9.42,ME,61.17
6.95,81.32,73.49,79.33,6.16,CE,107.69
4.03,72.63,,71.23,5.84,CSE,53.75
2.15,85.36,62.57,55.45,6.21,ECE,48.89
6.9,64.32,45.6,95.66,5.42,ME,58.05
5.15,79.28,58.77,61.09,6.49,ECE,64.9
3.66,84.19,66.36,98.1,4.84,CE,98.92
3.54,,62.88,69.5,5.8,CSE,21.73
4.47,74.81,93.95,70.34,8.18,ECE,82.89
9.03,56.1,69.36,89.36,7.47,ECE,60.99
4.27,76.5,78.24,69.15,7.17,ME,85.85
0.82,68.49,61.33,67.45,8.1,ECE,29.8
4.58,67.81,54.31,55.19,3.77,CSE,4.16
2.27,95.24,45.82,,7.69,CSE,95.51
3.99,78.2,79.31,68.78,4.33,ECE,74.18
7.36,79.88,79.06,77.21,5.24,ME,98.16
2.66,69.67,45.86,26.92,7.77,ME,-6.48
4.9,72.0,65.46,109.31,4.83,CE,81.51
6.19,80.64,94.28,82.8,9.08,CSE,146.65
6.05,84.51,64.01,67.14,7.36,CE,89.43
3.36,86.59,53.3,84.45,8.18,ME,92.62
9.2,74.34,68.19,66.29,6.34,CE,89.95
5.74,86.73,73.36,68.39,6.5,ME,103.87
3.1,80.97,50.89,76.95,5.66,CE,47.51
3.16,80.39,71.7,72.54,7.11,CE,80.21
6.72,68.73,53.34,84.3,4.93,CSE,58.89
-0.68,63.49,75.35,57.86,4.88,CSE,-12.97
5.18,84.55,59.56,92.16,8.04,CE,103.58
5.52,79.94,57.49,61.75,7.59,ME,72.49
2.97,95.86,50.82,64.58,7.67,ME,102.23
5.89,88.85,77.77,86.52,7.38,CSE,148.25
5.12,74.57,79.85,82.73,6.31,CSE,84.76
5.12,76.54,69.62,52.86,5.67,ECE,62.3
5.46,75.21,62.89,51.1,9.49,CSE,52.96
2.41,77.08,63.24,62.02,8.26,ME,56.68
6.44,86.86,52.44,84.94,7.8,CSE,124.63
6.19,62.72,76.57,80.52,8.78,ECE,76.33
2.78,,68.76,69.46,8.03,,97.66
3.31,85.09,48.02,47.51,7.33,,66.67
5.26,84.49,93.12,67.88,8.31,ME,112.19
2.18,67.96,58.73,,8.57,ECE,24.66
5.84,79.26,57.71,43.36,6.88,CE,66.82
3.33,65.84,77.78,67.89,9.18,CE,58.8
6.52,67.69,58.58,80.28,7.54,CSE,68.84
6.13,61.01,76.11,60.24,9.86,CE,64.15
,59.82,61.47,83.36,6.89,ME,42.44
5.45,,65.62,83.56,7.34,CE,114.64
3.83,,68.34,62.82,6.24,ME,27.04
,89.51,64.07,44.76,5.21,ME,92.14
6.95,86.59,90.12,58.31,4.73,CSE,94.05
4.28,57.14,54.82,74.52,7.86,ECE,26.44
4.74,69.1,52.62,71.08,7.89,ME,54.57
7.05,95.12,69.64,73.74,8.64,CE,160.01
4.14,,83.4,78.83,4.86,CE,70.12
6.44,72.31,50.8,92.54,3.94,ME,72.37
1.27,67.83,51.3,68.76,6.71,CE,12.35
2.41,82.2,86.65,55.65,6.71,CSE,84.59
7.89,70.07,64.83,51.15,5.97,CE,70.59
4.45,90.63,44.55,,5.61,CSE,76.01
3.07,83.73,81.72,68.81,8.26,,102.45
6.52,83.88,73.06,70.9,9.29,ME,122.2
3.7,66.52,86.71,53.66,6.67,ME,44.11
10.02,78.47,58.62,42.4,4.65,CSE,74.52
2.66,89.77,68.55,73.25,4.73,CE,80.3
5.6,58.84,67.46,83.99,8.15,CSE,69.29
4.25,45.93,75.1,54.42,6.45,CE,-11.04
7.38,79.37,66.93,84.24,7.0,CE,114.1
8.2,72.4,61.18,82.03,5.83,CSE,88.68
2.42,62.24,75.67,74.39,7.86,ECE,39.76
,76.97,68.56,95.5,7.69,ME,106.71
7.27,72.63,85.97,53.41,8.4,CE,86.03
5.95,64.79,70.32,65.99,8.43,CE,67.07
5.57,77.01,79.25,66.12,6.3,CSE,80.88
5.62,78.81,72.43,47.22,9.46,ECE,74.29
3.94,78.29,58.98,,8.37,,82.23
4.64,82.44,60.7,60.26,6.03,ECE,77.39
6.23,82.39,71.16,55.97,6.61,ME,89.16
6.39,66.37,78.17,,6.28,CE,67.65
6.32,78.34,60.35,100.15,7.43,CE,96.49
3.39,81.59,74.08,74.61,4.13,CSE,56.94
3.72,99.55,70.91,62.04,7.43,CSE,110.26
0.41,60.56,65.01,61.74,7.9,ECE,7.9
4.17,61.74,82.38,73.9,6.46,ECE,52.78
4.37,64.08,78.1,88.2,7.91,ME,64.55
1.43,58.62,76.95,60.67,9.55,CSE,14.21
4.61,82.32,45.83,63.03,6.05,CE,49.36
7.12,58.31,65.15,67.41,11.3,CSE,73.8
1.72,72.7,,64.11,6.09,ECE,48.19
2.97,69.18,60.45,60.26,6.69,CSE,33.51
5.7,78.44,54.05,,6.37,CE,63.81
4.23,88.88,59.0,75.74,6.21,CSE,90.25
4.8,81.5,49.64,97.7,8.31,ECE,107.19
5.39,75.69,84.63,105.88,6.67,CE,117.31
5.44,73.87,51.82,88.52,9.13,ME,76.85
4.53,62.42,52.82,77.0,5.78,ME,20.06
7.34,85.67,74.85,90.73,7.76,CE,147.57
7.66,76.09,45.42,74.7,5.14,CE,79.83
3.29,46.45,57.48,53.11,7.74,CE,-41.0
7.24,90.34,78.16,63.1,3.71,ECE,92.9
4.86,65.33,63.78,75.46,6.1,CE,38.01
1.33,72.31,65.15,63.51,7.72,ECE,36.39
7.29,63.31,68.62,81.28,6.95,,78.8
4.82,89.24,77.43,56.68,5.75,ECE,92.92
5.65,72.11,,57.59,6.97,ECE,55.8
6.24,61.88,82.18,89.93,8.62,CSE,92.3
3.12,67.31,45.71,82.44,5.86,ME,28.36
5.44,63.95,58.42,88.27,8.25,CE,72.38
7.17,59.53,48.97,62.93,7.73,ME,29.55
3.95,79.92,73.39,37.7,7.63,ME,65.92
5.83,75.02,71.23,94.07,7.74,CSE,121.46
1.28,82.98,61.92,70.68,6.19,ME,49.14
7.0,90.21,61.13,,8.83,ME,116.11
5.98,69.75,73.66,51.67,5.31,CE,49.52
6.33,63.51,51.97,76.94,8.02,ECE,51.74
7.12,81.86,81.42,43.62,5.55,CE,81.34
1.93,77.43,79.3,67.06,8.43,,70.66
5.49,82.08,58.98,61.54,5.47,ME,57.49
2.58,74.34,72.66,60.22,4.51,ME,32.91
5.3,71.8,76.85,57.47,6.89,CE,58.94
,77.49,61.31,68.57,7.33,CE,90.62
0.9,,49.83,81.09,7.73,ME,12.44
6.91,66.11,75.43,83.14,6.32,ECE,66.19
6.85,82.98,67.89,54.24,7.13,ECE,82.42
3.68,76.86,72.61,82.79,3.96,CE,47.17
5.77,63.49,61.44,66.93,7.36,ECE,22.88
2.74,67.42,59.58,79.34,7.29,CE,40.13
4.62,61.7,66.25,83.82,5.65,,33.94
5.52,76.75,69.85,68.88,9.83,ME,85.53
,79.2,72.78,63.44,6.82,CE,64.58
6.91,82.08,66.6,58.21,6.77,,85.02
4.34,67.98,,64.12,8.45,CE,42.35
5.96,82.26,66.55,73.36,7.16,ECE,91.47
4.02,90.43,78.06,53.21,9.83,CE,122.04
5.1,75.45,79.17,62.47,6.06,CSE,72.34
2.85,87.2,64.76,58.56,6.84,ECE,59.69
4.48,77.39,70.16,67.05,8.55,ME,79.22
3.56,60.93,67.78,66.8,4.83,CSE,0.66
5.95,64.38,46.39,56.21,7.1,,32.22
5.27,95.13,70.52,64.52,5.98,CSE,117.42
4.27,97.99,,63.32,9.11,CE,113.84
7.1,67.44,68.02,94.83,6.71,CSE,94.55
4.6,88.57,67.92,,6.56,ECE,105.5
2.62,77.97,,85.81,7.28,CE,73.83
3.53,86.65,64.57,57.85,4.58,ECE,55.42
4.49,80.49,70.78,68.12,7.82,CSE,83.54
,65.82,49.48,64.06,5.96,CE,44.75
6.94,82.9,67.88,74.9,8.88,ME,109.27
2.95,42.59,53.88,66.21,6.91,ME,-33.26
4.4,73.84,73.86,47.82,7.26,CE,48.41
5.99,83.7,62.71,72.26,7.33,CSE,102.45
3.04,79.54,35.14,70.88,6.01,ME,32.91
5.79,73.21,65.41,80.39,7.17,CE,79.06
6.78,65.76,,85.53,6.65,ME,56.63
2.3,68.13,59.29,68.86,5.76,CE,15.83
4.8,80.22,70.6,104.09,9.02,CSE,127.6
2.31,83.71,72.04,71.9,6.29,CSE,71.6
4.65,74.76,71.78,73.38,5.47,ECE,68.65
-0.21,70.79,69.36,72.98,8.33,ME,34.96
5.2,65.22,74.06,81.27,7.75,ECE,78.24
6.17,,61.14,58.95,8.99,CSE,34.0
4.58,75.72,83.2,55.72,7.9,CE,81.74
2.21,62.13,63.88,61.25,8.99,CSE,23.21
4.63,45.09,51.23,45.54,7.13,CSE,-33.04
4.91,,77.57,47.03,8.75,CE,76.93
7.45,74.47,69.47,86.45,7.58,ECE,103.81
2.29,,51.16,59.36,4.47,ME,-24.8
6.11,66.55,50.67,69.49,7.43,CSE,49.81
,76.16,56.02,71.01,9.33,CSE,99.12
4.46,69.53,,95.1,7.27,ME,65.14
5.16,,47.17,85.98,7.4,CSE,105.43
5.67,85.07,78.76,66.59,5.54,ME,92.82
3.97,65.6,73.04,54.11,7.55,ME,34.92
3.7,72.75,,72.53,7.12,ME,65.27
7.99,57.69,63.93,70.62,6.94,CE,60.92
5.29,54.82,75.3,81.9,5.76,ECE,17.72
5.8,69.55,67.53,69.44,6.85,ECE,60.36
5.39,79.6,56.14,54.7,7.27,CE,65.23
7.58,78.81,43.87,80.1,8.13,ECE,90.56
6.68,,69.66,,10.74,ECE,107.1
1.59,79.08,67.35,85.44,5.53,ECE,66.11
5.32,54.14,69.37,103.19,7.01,CSE,60.11
7.37,84.86,,108.84,6.72,CE,141.09
4.79,78.9,75.21,73.98,6.79,ECE,93.24
1.87,94.76,66.27,94.26,7.88,CE,118.43
4.96,72.78,76.48,59.67,7.78,ECE,62.85
7.25,74.38,71.17,64.99,7.86,ECE,87.24
6.78,78.38,60.34,70.06,6.92,CE,78.51
,94.93,57.73,61.76,9.58,ME,103.46
3.24,80.01,67.02,,8.42,CE,89.76
4.29,76.94,71.96,75.08,7.49,ME,84.1
5.99,96.96,46.48,69.14,7.25,CSE,114.17
,73.4,42.5,73.2,7.17,CE,45.7
6.54,66.13,59.56,75.34,9.59,ME,87.77
6.41,65.26,59.92,50.39,4.95,ECE,30.8
3.69,83.41,66.54,63.31,5.98,CSE,76.61
6.96,97.52,77.12,65.13,5.97,CE,131.56
8.13,74.64,69.34,30.7,9.31,ME,81.8
5.39,89.47,62.76,85.48,6.34,ME,106.55
6.87,78.33,61.22,66.66,6.14,CE,82.28
5.07,68.24,69.17,53.69,6.27,ME,46.95
5.43,82.68,66.7,77.62,3.8,CE,66.62
2.79,72.31,,108.6,8.69,ME,103.53
4.13,83.26,60.57,45.9,6.8,ECE,63.18
2.26,84.79,57.63,94.13,5.94,CE,70.33
3.87,93.21,62.34,82.47,5.23,CE,107.42
3.49,73.25,,78.05,8.49,CSE,61.05
6.22,78.8,67.13,78.4,5.0,ECE,74.48
,75.75,84.68,66.31,8.11,CE,61.89
5.39,75.89,76.58,60.74,8.85,ME,82.33
,52.94,62.79,89.12,6.09,ME,52.65
,92.71,56.56,97.19,6.95,ME,104.83
1.89,64.28,64.09,82.27,8.01,CSE,35.95
4.19,72.64,78.25,61.98,6.62,,48.93
7.95,59.24,75.6,90.7,7.98,ME,68.06
6.18,81.73,70.26,64.69,7.03,,83.61
3.86,81.41,61.63,78.59,9.7,CSE,108.79
5.9,80.72,69.34,41.95,5.06,CE,56.43
3.7,75.46,56.24,102.16,7.32,ME,79.18
5.98,91.07,68.39,81.02,6.63,ECE,109.15
3.95,53.76,54.92,58.61,6.1,ME,4.47
3.78,53.78,80.81,89.45,6.82,ECE,36.54
6.29,78.99,61.91,62.75,4.5,ECE,58.14
3.3,72.91,63.34,61.29,5.16,ME,35.17
3.92,78.6,61.39,79.83,5.49,ECE,54.52
2.58,73.56,41.29,79.0,5.59,CSE,19.17
6.97,72.54,74.53,59.32,6.55,CSE,83.31
1.52,86.49,74.26,,2.73,ME,43.47
5.45,60.36,,85.71,5.16,CE,58.85
3.83,83.09,57.84,58.76,6.55,CSE,58.89
4.82,,69.61,50.43,6.95,ME,12.58
7.17,74.91,54.22,77.12,7.04,,89.42
4.87,73.05,56.37,71.38,8.12,CSE,75.46
,,77.54,93.45,7.22,ME,86.17
5.09,75.05,45.87,63.25,6.1,ME,46.77
3.99,77.45,55.13,62.93,7.37,CE,54.68
5.66,69.3,64.45,47.24,6.36,ECE,40.09
5.78,93.71,45.97,56.98,4.18,ECE,71.73
4.75,78.7,68.2,76.87,6.49,ECE,83.94
2.27,81.84,77.72,88.18,7.93,ME,96.27
2.88,,57.78,82.34,9.78,ME,77.68
3.53,65.96,48.04,88.54,6.83,ECE,43.16
5.59,86.5,59.06,89.01,6.25,ME,88.29
7.11,85.83,69.29,49.33,7.84,CE,95.01
7.69,93.82,55.51,93.9,7.71,ME,145.28
7.73,59.85,61.7,94.67,3.55,ME,41.27
1.5,82.93,63.39,89.57,8.22,CSE,89.31
,72.1,,74.83,8.38,CE,72.5
5.86,82.11,77.02,75.69,9.09,CSE,100.94
8.35,79.58,70.27,69.92,8.17,ECE,95.9
8.26,65.34,,61.27,3.26,ECE,30.9
6.7,69.11,62.5,75.36,6.26,CE,57.04
5.37,62.45,67.27,84.07,8.51,ME,68.32
3.88,69.71,71.37,77.19,3.73,CSE,48.57
7.38,68.63,57.52,91.31,6.17,CE,63.94
4.73,94.0,62.1,55.38,8.01,CSE,77.3
,77.8,,106.69,6.92,ME,93.14
2.66,64.57,63.2,76.97,6.51,,26.18
6.18,71.41,87.16,86.63,7.88,CE,94.52
4.32,72.27,73.35,77.5,8.76,ME,76.97
5.41,64.96,47.6,71.04,5.62,ME,28.72
2.79,80.08,49.03,37.71,4.25,CE,14.1
2.27,75.34,76.49,80.52,5.81,ME,53.16
3.71,75.6,81.79,,8.39,CSE,96.74
2.99,78.5,67.21,,11.04,ECE,80.49
4.23,61.65,77.48,76.52,5.89,CE,33.13
5.2,66.56,51.41,62.76,7.53,CSE,39.58
6.49,72.64,72.16,76.32,6.05,,80.19
5.0,95.5,55.11,81.73,5.92,ECE,117.4
3.06,78.8,60.23,65.35,8.86,CSE,73.97
2.74,75.93,53.48,106.18,6.82,CE,73.46
5.12,64.84,67.41,76.43,8.72,ME,51.77
5.25,73.5,61.43,67.4,9.06,CE,70.79
4.26,56.17,,76.56,8.07,CSE,25.25
2.88,75.52,63.9,59.24,6.88,ECE,41.18
5.85,71.64,40.4,87.96,8.74,CSE,78.23
3.74,,72.55,73.8,5.79,CSE,85.36
6.9,80.48,63.9,69.11,6.87,ME,91.92
7.36,74.94,36.3,49.4,8.27,CE,65.77
7.23,59.78,52.65,60.56,4.97,CSE,25.53
6.42,71.25,73.56,,6.64,CSE,77.37
6.9,74.38,85.45,64.5,8.87,ECE,95.7
,89.42,65.81,70.84,3.97,ECE,71.66
,80.46,57.64,69.88,7.29,CE,46.91
3.04,58.09,68.35,111.33,7.44,CE,50.48
1.86,84.18,67.16,55.16,9.09,ME,77.74
6.33,88.04,65.21,61.71,5.54,CE,88.51
3.98,79.49,60.34,70.52,7.29,ECE,71.77
9.93,75.6,41.97,67.11,6.96,CE,74.18
3.07,70.16,,67.37,6.76,CSE,14.33
5.46,71.22,88.29,79.7,5.68,CE,80.66
4.9,65.33,74.43,69.95,7.64,CE,44.83
3.65,,,84.63,5.65,ME,60.3
4.09,62.04,60.78,72.72,5.85,,28.12
4.87,67.46,51.24,74.93,7.45,ME,51.94
,69.0,,64.22,7.3,ECE,43.29
3.96,89.78,62.36,57.87,7.54,CE,84.61
8.59,90.48,67.44,60.81,4.73,CE,122.74
2.6,77.04,54.72,64.06,6.17,ECE,36.71
4.58,60.16,71.1,88.1,6.35,,51.61
2.51,77.14,59.64,72.6,8.28,CSE,57.07
5.37,58.93,67.73,73.9,8.96,ME,56.97
8.19,70.12,,70.29,7.32,ME,58.0
2.3,85.82,,63.77,5.83,CSE,48.66
6.38,62.08,86.0,62.46,9.07,CE,77.23
6.29,80.21,64.34,78.33,7.43,ME,103.79
6.0,77.39,82.85,77.08,6.13,ECE,97.68
3.72,75.19,57.06,77.32,7.64,CSE,64.74
6.83,66.67,43.69,61.76,6.88,CE,41.34
